,month,year,FixedCounts,walk,region
897,1,2009,4896,_rongorongo Track,Wellington
898,2,2009,2970,_rongorongo Track,Wellington
899,3,2009,2387,_rongorongo Track,Wellington
900,4,2009,3209,_rongorongo Track,Wellington
901,5,2009,1080,_rongorongo Track,Wellington
902,6,2009,1279,_rongorongo Track,Wellington
903,7,2009,1476,_rongorongo Track,Wellington
904,8,2009,1853,_rongorongo Track,Wellington
905,9,2009,1725,_rongorongo Track,Wellington
906,10,2009,2122,_rongorongo Track,Wellington
907,11,2009,2361,_rongorongo Track,Wellington
908,12,2009,3227,_rongorongo Track,Wellington
909,1,2010,4021,_rongorongo Track,Wellington
910,2,2010,3138,_rongorongo Track,Wellington
911,3,2010,2904,_rongorongo Track,Wellington
912,4,2010,2714,_rongorongo Track,Wellington
913,5,2010,1402,_rongorongo Track,Wellington
914,6,2010,984,_rongorongo Track,Wellington
915,7,2010,1459,_rongorongo Track,Wellington
916,8,2010,1146,_rongorongo Track,Wellington
917,9,2010,1635,_rongorongo Track,Wellington
918,10,2010,3596,_rongorongo Track,Wellington
919,11,2010,2970,_rongorongo Track,Wellington
920,12,2010,3952,_rongorongo Track,Wellington
921,1,2011,5155,_rongorongo Track,Wellington
922,2,2011,3358,_rongorongo Track,Wellington
923,3,2011,2838,_rongorongo Track,Wellington
924,4,2011,3472,_rongorongo Track,Wellington
925,5,2011,2209,_rongorongo Track,Wellington
926,6,2011,1800,_rongorongo Track,Wellington
927,7,2011,1686,_rongorongo Track,Wellington
928,8,2011,1409,_rongorongo Track,Wellington
929,9,2011,1934,_rongorongo Track,Wellington
930,10,2011,3019,_rongorongo Track,Wellington
931,11,2011,3233,_rongorongo Track,Wellington
932,12,2011,4210,_rongorongo Track,Wellington
933,1,2012,5279,_rongorongo Track,Wellington
934,2,2012,3822,_rongorongo Track,Wellington
935,3,2012,3587,_rongorongo Track,Wellington
936,4,2012,4315,_rongorongo Track,Wellington
937,5,2012,1806,_rongorongo Track,Wellington
938,6,2012,1794,_rongorongo Track,Wellington
939,7,2012,1806,_rongorongo Track,Wellington
940,8,2012,1448,_rongorongo Track,Wellington
941,9,2012,2582,_rongorongo Track,Wellington
942,10,2012,2993,_rongorongo Track,Wellington
943,11,2012,3486,_rongorongo Track,Wellington
944,12,2012,4079,_rongorongo Track,Wellington
945,1,2013,4574,_rongorongo Track,Wellington
946,2,2013,3768,_rongorongo Track,Wellington
947,3,2013,4123,_rongorongo Track,Wellington
948,4,2013,3071,_rongorongo Track,Wellington
949,5,2013,1601,_rongorongo Track,Wellington
950,6,2013,1741,_rongorongo Track,Wellington
951,7,2013,1558,_rongorongo Track,Wellington
952,8,2013,1831,_rongorongo Track,Wellington
953,9,2013,2133,_rongorongo Track,Wellington
954,10,2013,3282,_rongorongo Track,Wellington
955,11,2013,3521,_rongorongo Track,Wellington
956,12,2013,3331,_rongorongo Track,Wellington
957,1,2014,4804,_rongorongo Track,Wellington
958,2,2014,3398,_rongorongo Track,Wellington
959,3,2014,3447,_rongorongo Track,Wellington
960,4,2014,3164,_rongorongo Track,Wellington
961,5,2014,2204,_rongorongo Track,Wellington
962,6,2014,2195,_rongorongo Track,Wellington
963,7,2014,1581,_rongorongo Track,Wellington
964,8,2014,1981,_rongorongo Track,Wellington
965,9,2014,1568,_rongorongo Track,Wellington
966,10,2014,3084,_rongorongo Track,Wellington
967,11,2014,3794,_rongorongo Track,Wellington
968,12,2014,3786,_rongorongo Track,Wellington
969,1,2015,5200,_rongorongo Track,Wellington
970,2,2015,2905,_rongorongo Track,Wellington
971,3,2015,2681,_rongorongo Track,Wellington
972,4,2015,3346,_rongorongo Track,Wellington
973,5,2015,2047,_rongorongo Track,Wellington
974,6,2015,1903,_rongorongo Track,Wellington
975,7,2015,1933,_rongorongo Track,Wellington
976,8,2015,1688,_rongorongo Track,Wellington
977,9,2015,1719,_rongorongo Track,Wellington
978,10,2015,3338,_rongorongo Track,Wellington
979,11,2015,1813,_rongorongo Track,Wellington
980,12,2015,2719,_rongorongo Track,Wellington
981,1,2016,3431,_rongorongo Track,Wellington
982,2,2016,2734,_rongorongo Track,Wellington
983,3,2016,2752,_rongorongo Track,Wellington
984,4,2016,2448,_rongorongo Track,Wellington
985,5,2016,1178,_rongorongo Track,Wellington
986,6,2016,1107,_rongorongo Track,Wellington
987,7,2016,1125,_rongorongo Track,Wellington
988,8,2016,902,_rongorongo Track,Wellington
989,9,2016,1036,_rongorongo Track,Wellington
990,10,2016,1679,_rongorongo Track,Wellington
991,11,2016,1424,_rongorongo Track,Wellington
992,12,2016,2510,_rongorongo Track,Wellington
993,1,2017,2758,_rongorongo Track,Wellington
994,2,2017,1837,_rongorongo Track,Wellington
995,3,2017,1432,_rongorongo Track,Wellington
996,4,2017,2107,_rongorongo Track,Wellington
997,5,2017,1036,_rongorongo Track,Wellington
998,6,2017,944,_rongorongo Track,Wellington
999,7,2017,907,_rongorongo Track,Wellington
1000,8,2017,770,_rongorongo Track,Wellington
1001,9,2017,1050,_rongorongo Track,Wellington
1002,10,2017,772,_rongorongo Track,Wellington
1003,11,2017,1154,_rongorongo Track,Wellington
1004,12,2017,1343,_rongorongo Track,Wellington
1005,1,2018,1686,_rongorongo Track,Wellington
1006,2,2018,993,_rongorongo Track,Wellington
1007,3,2018,684,_rongorongo Track,Wellington
1008,4,2018,439,_rongorongo Track,Wellington
1009,5,2018,168,_rongorongo Track,Wellington
1010,6,2018,99,_rongorongo Track,Wellington
1011,7,2018,152,_rongorongo Track,Wellington
1012,8,2018,87,_rongorongo Track,Wellington
1013,9,2018,111,_rongorongo Track,Wellington
1014,10,2018,1535,_rongorongo Track,Wellington
1015,6,2007,492,Mangawhai Cliffs,Northland
1016,7,2007,526,Mangawhai Cliffs,Northland
1017,8,2007,359,Mangawhai Cliffs,Northland
1018,9,2007,573,Mangawhai Cliffs,Northland
1019,10,2007,890,Mangawhai Cliffs,Northland
1020,11,2007,637,Mangawhai Cliffs,Northland
1021,12,2007,1193,Mangawhai Cliffs,Northland
1022,1,2008,3127,Mangawhai Cliffs,Northland
1023,2,2008,1353,Mangawhai Cliffs,Northland
1024,3,2008,1102,Mangawhai Cliffs,Northland
1025,4,2008,688,Mangawhai Cliffs,Northland
1026,5,2008,587,Mangawhai Cliffs,Northland
1027,6,2008,530,Mangawhai Cliffs,Northland
1028,7,2008,498,Mangawhai Cliffs,Northland
1029,8,2008,390,Mangawhai Cliffs,Northland
1030,9,2008,731,Mangawhai Cliffs,Northland
1031,10,2008,1108,Mangawhai Cliffs,Northland
1032,11,2008,990,Mangawhai Cliffs,Northland
1033,12,2008,1387,Mangawhai Cliffs,Northland
1034,1,2009,2369,Mangawhai Cliffs,Northland
1035,2,2009,1177,Mangawhai Cliffs,Northland
1036,3,2009,1322,Mangawhai Cliffs,Northland
1037,4,2009,1545,Mangawhai Cliffs,Northland
1038,5,2009,774,Mangawhai Cliffs,Northland
1039,6,2009,541,Mangawhai Cliffs,Northland
1040,7,2009,499,Mangawhai Cliffs,Northland
1041,8,2009,506,Mangawhai Cliffs,Northland
1042,9,2009,639,Mangawhai Cliffs,Northland
1043,10,2009,796,Mangawhai Cliffs,Northland
1044,11,2009,829,Mangawhai Cliffs,Northland
1045,12,2009,1857,Mangawhai Cliffs,Northland
1046,1,2010,2541,Mangawhai Cliffs,Northland
1047,2,2010,1492,Mangawhai Cliffs,Northland
1048,3,2010,1682,Mangawhai Cliffs,Northland
1049,4,2010,2059,Mangawhai Cliffs,Northland
1050,5,2010,854,Mangawhai Cliffs,Northland
1051,6,2010,789,Mangawhai Cliffs,Northland
1052,7,2010,815,Mangawhai Cliffs,Northland
1053,8,2010,480,Mangawhai Cliffs,Northland
1054,9,2010,742,Mangawhai Cliffs,Northland
1055,10,2010,1527,Mangawhai Cliffs,Northland
1056,11,2010,1532,Mangawhai Cliffs,Northland
1057,12,2010,2056,Mangawhai Cliffs,Northland
1058,1,2011,3321,Mangawhai Cliffs,Northland
1059,2,2011,1516,Mangawhai Cliffs,Northland
1060,3,2011,1587,Mangawhai Cliffs,Northland
1061,4,2011,1951,Mangawhai Cliffs,Northland
1062,5,2011,875,Mangawhai Cliffs,Northland
1063,6,2011,740,Mangawhai Cliffs,Northland
1064,7,2011,907,Mangawhai Cliffs,Northland
1065,8,2011,896,Mangawhai Cliffs,Northland
1066,9,2011,816,Mangawhai Cliffs,Northland
1067,10,2011,1316,Mangawhai Cliffs,Northland
1068,11,2011,1179,Mangawhai Cliffs,Northland
1069,12,2011,1810,Mangawhai Cliffs,Northland
1070,1,2012,3251,Mangawhai Cliffs,Northland
1071,2,2012,1854,Mangawhai Cliffs,Northland
1072,3,2012,1156,Mangawhai Cliffs,Northland
1073,4,2012,1674,Mangawhai Cliffs,Northland
1074,5,2012,755,Mangawhai Cliffs,Northland
1075,6,2012,824,Mangawhai Cliffs,Northland
1076,7,2012,713,Mangawhai Cliffs,Northland
1077,8,2012,628,Mangawhai Cliffs,Northland
1078,9,2012,808,Mangawhai Cliffs,Northland
1079,10,2012,1116,Mangawhai Cliffs,Northland
1080,11,2012,1052,Mangawhai Cliffs,Northland
1081,12,2012,2163,Mangawhai Cliffs,Northland
1082,1,2013,3638,Mangawhai Cliffs,Northland
1083,2,2013,1697,Mangawhai Cliffs,Northland
1084,3,2013,2096,Mangawhai Cliffs,Northland
1085,4,2013,1685,Mangawhai Cliffs,Northland
1086,5,2013,788,Mangawhai Cliffs,Northland
1087,6,2013,1085,Mangawhai Cliffs,Northland
1088,7,2013,1022,Mangawhai Cliffs,Northland
1089,8,2013,700,Mangawhai Cliffs,Northland
1090,9,2013,775,Mangawhai Cliffs,Northland
1091,10,2013,1560,Mangawhai Cliffs,Northland
1092,11,2013,1448,Mangawhai Cliffs,Northland
1093,12,2013,2764,Mangawhai Cliffs,Northland
1094,1,2014,3628,Mangawhai Cliffs,Northland
1095,2,2014,1531,Mangawhai Cliffs,Northland
1096,3,2014,1728,Mangawhai Cliffs,Northland
1097,4,2014,2214,Mangawhai Cliffs,Northland
1098,5,2014,956,Mangawhai Cliffs,Northland
1099,6,2014,946,Mangawhai Cliffs,Northland
1100,7,2014,827,Mangawhai Cliffs,Northland
1101,8,2014,719,Mangawhai Cliffs,Northland
1102,9,2014,739,Mangawhai Cliffs,Northland
1103,10,2014,1647,Mangawhai Cliffs,Northland
1104,11,2014,1699,Mangawhai Cliffs,Northland
1105,12,2014,2557,Mangawhai Cliffs,Northland
1106,1,2015,3587,Mangawhai Cliffs,Northland
1107,2,2015,1716,Mangawhai Cliffs,Northland
1108,3,2015,1588,Mangawhai Cliffs,Northland
1109,4,2015,2124,Mangawhai Cliffs,Northland
1110,5,2015,1046,Mangawhai Cliffs,Northland
1111,6,2015,984,Mangawhai Cliffs,Northland
1112,7,2015,1173,Mangawhai Cliffs,Northland
1113,8,2015,1234,Mangawhai Cliffs,Northland
1114,9,2015,1195,Mangawhai Cliffs,Northland
1115,10,2015,2159,Mangawhai Cliffs,Northland
1116,11,2015,1925,Mangawhai Cliffs,Northland
1117,12,2015,3135,Mangawhai Cliffs,Northland
1118,1,2016,4216,Mangawhai Cliffs,Northland
1119,2,2016,2274,Mangawhai Cliffs,Northland
1120,3,2016,2189,Mangawhai Cliffs,Northland
1121,4,2016,1914,Mangawhai Cliffs,Northland
1122,5,2016,1487,Mangawhai Cliffs,Northland
1123,6,2016,1495,Mangawhai Cliffs,Northland
1124,7,2016,1410,Mangawhai Cliffs,Northland
1125,8,2016,1269,Mangawhai Cliffs,Northland
1126,9,2016,1420,Mangawhai Cliffs,Northland
1127,10,2016,2310,Mangawhai Cliffs,Northland
1128,11,2016,2652,Mangawhai Cliffs,Northland
1129,12,2016,4072,Mangawhai Cliffs,Northland
1130,1,2017,5866,Mangawhai Cliffs,Northland
1131,2,2017,3042,Mangawhai Cliffs,Northland
1132,3,2017,2125,Mangawhai Cliffs,Northland
1133,4,2017,3216,Mangawhai Cliffs,Northland
1134,5,2017,1620,Mangawhai Cliffs,Northland
1135,6,2017,1916,Mangawhai Cliffs,Northland
1136,7,2017,1636,Mangawhai Cliffs,Northland
1137,8,2017,1383,Mangawhai Cliffs,Northland
1138,9,2017,1048,Mangawhai Cliffs,Northland
1139,10,2017,1921,Mangawhai Cliffs,Northland
1140,11,2017,2400,Mangawhai Cliffs,Northland
1141,12,2017,4534,Mangawhai Cliffs,Northland
1142,1,2018,4854,Mangawhai Cliffs,Northland
1143,2,2018,2639,Mangawhai Cliffs,Northland
1144,3,2018,3610,Mangawhai Cliffs,Northland
1145,4,2018,3056,Mangawhai Cliffs,Northland
1146,5,2018,1039,Mangawhai Cliffs,Northland
1147,6,2018,1049,Mangawhai Cliffs,Northland
1148,7,2018,889,Mangawhai Cliffs,Northland
1149,8,2018,906,Mangawhai Cliffs,Northland
1150,10,2009,2141,Wainui Falls,Tasman
1151,11,2009,2751,Wainui Falls,Tasman
1152,12,2009,6243,Wainui Falls,Tasman
1153,1,2010,11185,Wainui Falls,Tasman
1154,2,2010,5464,Wainui Falls,Tasman
1155,3,2010,4508,Wainui Falls,Tasman
1156,4,2010,3806,Wainui Falls,Tasman
1157,5,2010,1177,Wainui Falls,Tasman
1158,6,2010,795,Wainui Falls,Tasman
1159,7,2010,959,Wainui Falls,Tasman
1160,8,2010,691,Wainui Falls,Tasman
1161,9,2010,1150,Wainui Falls,Tasman
1162,10,2010,2485,Wainui Falls,Tasman
1163,11,2010,2815,Wainui Falls,Tasman
1164,12,2010,5412,Wainui Falls,Tasman
1165,1,2011,11132,Wainui Falls,Tasman
1166,2,2011,5117,Wainui Falls,Tasman
1167,3,2011,3940,Wainui Falls,Tasman
1168,4,2011,2901,Wainui Falls,Tasman
1169,5,2011,1065,Wainui Falls,Tasman
1170,6,2011,775,Wainui Falls,Tasman
1171,7,2011,1013,Wainui Falls,Tasman
1172,8,2011,755,Wainui Falls,Tasman
1173,9,2011,1170,Wainui Falls,Tasman
1174,10,2011,2146,Wainui Falls,Tasman
1175,11,2011,2653,Wainui Falls,Tasman
1176,12,2011,985,Wainui Falls,Tasman
1177,1,2012,244,Wainui Falls,Tasman
1178,2,2012,3042,Wainui Falls,Tasman
1179,3,2012,2113,Wainui Falls,Tasman
1180,4,2012,2450,Wainui Falls,Tasman
1181,5,2012,764,Wainui Falls,Tasman
1182,6,2012,780,Wainui Falls,Tasman
1183,7,2012,690,Wainui Falls,Tasman
1184,8,2012,500,Wainui Falls,Tasman
1185,9,2012,959,Wainui Falls,Tasman
1186,10,2012,1963,Wainui Falls,Tasman
1187,11,2012,2344,Wainui Falls,Tasman
1188,12,2012,5628,Wainui Falls,Tasman
1189,1,2013,8825,Wainui Falls,Tasman
1190,2,2013,5465,Wainui Falls,Tasman
1191,3,2013,3957,Wainui Falls,Tasman
1192,4,2013,2289,Wainui Falls,Tasman
1193,5,2013,894,Wainui Falls,Tasman
1194,6,2013,637,Wainui Falls,Tasman
1195,7,2013,926,Wainui Falls,Tasman
1196,8,2013,690,Wainui Falls,Tasman
1197,9,2013,932,Wainui Falls,Tasman
1198,10,2013,1914,Wainui Falls,Tasman
1199,11,2013,2486,Wainui Falls,Tasman
1200,12,2013,4720,Wainui Falls,Tasman
1201,1,2014,8788,Wainui Falls,Tasman
1202,2,2014,5831,Wainui Falls,Tasman
1203,3,2014,3615,Wainui Falls,Tasman
1204,4,2014,2678,Wainui Falls,Tasman
1205,5,2014,1215,Wainui Falls,Tasman
1206,6,2014,687,Wainui Falls,Tasman
1207,7,2014,1272,Wainui Falls,Tasman
1208,8,2014,1014,Wainui Falls,Tasman
1209,9,2014,1178,Wainui Falls,Tasman
1210,10,2014,2466,Wainui Falls,Tasman
1211,11,2014,3564,Wainui Falls,Tasman
1212,12,2014,5723,Wainui Falls,Tasman
1213,1,2015,10201,Wainui Falls,Tasman
1214,2,2015,6484,Wainui Falls,Tasman
1215,3,2015,4123,Wainui Falls,Tasman
1216,4,2015,3619,Wainui Falls,Tasman
1217,5,2015,1371,Wainui Falls,Tasman
1218,6,2015,552,Wainui Falls,Tasman
1219,7,2015,229,Wainui Falls,Tasman
1220,8,2015,1,Wainui Falls,Tasman
1221,9,2015,99,Wainui Falls,Tasman
1222,10,2015,1338,Wainui Falls,Tasman
1223,11,2015,2728,Wainui Falls,Tasman
1224,12,2015,5877,Wainui Falls,Tasman
1225,1,2016,10539,Wainui Falls,Tasman
1226,2,2016,6397,Wainui Falls,Tasman
1227,3,2016,5104,Wainui Falls,Tasman
1228,4,2016,2947,Wainui Falls,Tasman
1229,5,2016,1267,Wainui Falls,Tasman
1230,6,2016,841,Wainui Falls,Tasman
1231,7,2016,1289,Wainui Falls,Tasman
1232,8,2016,766,Wainui Falls,Tasman
1233,9,2016,1454,Wainui Falls,Tasman
1234,10,2016,2626,Wainui Falls,Tasman
1235,11,2016,2966,Wainui Falls,Tasman
1236,12,2016,6310,Wainui Falls,Tasman
1237,1,2017,12100,Wainui Falls,Tasman
1238,2,2017,7677,Wainui Falls,Tasman
1239,3,2017,4982,Wainui Falls,Tasman
1240,4,2017,4244,Wainui Falls,Tasman
1241,5,2017,1278,Wainui Falls,Tasman
1242,6,2017,1190,Wainui Falls,Tasman
1243,7,2017,1333,Wainui Falls,Tasman
1244,8,2017,646,Wainui Falls,Tasman
1245,9,2017,367,Wainui Falls,Tasman
1246,10,2017,1656,Wainui Falls,Tasman
1247,11,2017,3655,Wainui Falls,Tasman
1248,12,2017,8074,Wainui Falls,Tasman
1249,1,2018,12385,Wainui Falls,Tasman
1250,2,2018,6796,Wainui Falls,Tasman
1251,3,2018,4933,Wainui Falls,Tasman
1252,4,2018,4154,Wainui Falls,Tasman
1253,5,2018,1753,Wainui Falls,Tasman
1254,6,2018,1283,Wainui Falls,Tasman
1255,7,2018,1312,Wainui Falls,Tasman
1256,8,2018,1146,Wainui Falls,Tasman
1257,9,2018,1752,Wainui Falls,Tasman
1258,10,2018,3983,Wainui Falls,Tasman
1259,11,2018,3502,Wainui Falls,Tasman
1260,5,2008,178,Mangorei Track,Taranaki
1261,6,2008,293,Mangorei Track,Taranaki
1262,7,2008,203,Mangorei Track,Taranaki
1263,8,2008,160,Mangorei Track,Taranaki
1264,9,2008,260,Mangorei Track,Taranaki
1265,10,2008,253,Mangorei Track,Taranaki
1266,11,2008,381,Mangorei Track,Taranaki
1267,12,2008,442,Mangorei Track,Taranaki
1268,1,2009,488,Mangorei Track,Taranaki
1269,2,2009,462,Mangorei Track,Taranaki
1270,3,2009,319,Mangorei Track,Taranaki
1271,4,2009,274,Mangorei Track,Taranaki
1272,5,2009,220,Mangorei Track,Taranaki
1273,6,2009,195,Mangorei Track,Taranaki
1274,7,2009,199,Mangorei Track,Taranaki
1275,8,2009,199,Mangorei Track,Taranaki
1276,9,2009,214,Mangorei Track,Taranaki
1277,10,2009,265,Mangorei Track,Taranaki
1278,11,2009,338,Mangorei Track,Taranaki
1279,12,2009,510,Mangorei Track,Taranaki
1280,1,2010,622,Mangorei Track,Taranaki
1281,2,2010,506,Mangorei Track,Taranaki
1282,3,2010,451,Mangorei Track,Taranaki
1283,4,2010,336,Mangorei Track,Taranaki
1284,5,2010,269,Mangorei Track,Taranaki
1285,6,2010,239,Mangorei Track,Taranaki
1286,7,2010,244,Mangorei Track,Taranaki
1287,8,2010,244,Mangorei Track,Taranaki
1288,9,2010,263,Mangorei Track,Taranaki
1289,10,2010,325,Mangorei Track,Taranaki
1290,11,2010,414,Mangorei Track,Taranaki
1291,12,2010,625,Mangorei Track,Taranaki
1292,1,2011,762,Mangorei Track,Taranaki
1293,2,2011,621,Mangorei Track,Taranaki
1294,3,2011,552,Mangorei Track,Taranaki
1295,4,2011,412,Mangorei Track,Taranaki
1296,5,2011,330,Mangorei Track,Taranaki
1297,6,2011,293,Mangorei Track,Taranaki
1298,7,2011,299,Mangorei Track,Taranaki
1299,8,2011,299,Mangorei Track,Taranaki
1300,9,2011,322,Mangorei Track,Taranaki
1301,10,2011,398,Mangorei Track,Taranaki
1302,11,2011,507,Mangorei Track,Taranaki
1303,12,2011,767,Mangorei Track,Taranaki
1304,1,2012,935,Mangorei Track,Taranaki
1305,2,2012,786,Mangorei Track,Taranaki
1306,3,2012,672,Mangorei Track,Taranaki
1307,4,2012,500,Mangorei Track,Taranaki
1308,5,2012,402,Mangorei Track,Taranaki
1309,6,2012,359,Mangorei Track,Taranaki
1310,7,2012,366,Mangorei Track,Taranaki
1311,8,2012,367,Mangorei Track,Taranaki
1312,9,2012,397,Mangorei Track,Taranaki
1313,10,2012,492,Mangorei Track,Taranaki
1314,11,2012,688,Mangorei Track,Taranaki
1315,12,2012,825,Mangorei Track,Taranaki
1316,1,2013,1387,Mangorei Track,Taranaki
1317,2,2013,901,Mangorei Track,Taranaki
1318,3,2013,997,Mangorei Track,Taranaki
1319,4,2013,549,Mangorei Track,Taranaki
1320,5,2013,405,Mangorei Track,Taranaki
1321,6,2013,424,Mangorei Track,Taranaki
1322,7,2013,428,Mangorei Track,Taranaki
1323,8,2013,302,Mangorei Track,Taranaki
1324,9,2013,385,Mangorei Track,Taranaki
1325,10,2013,536,Mangorei Track,Taranaki
1326,11,2013,660,Mangorei Track,Taranaki
1327,12,2013,1015,Mangorei Track,Taranaki
1328,1,2014,1415,Mangorei Track,Taranaki
1329,2,2014,963,Mangorei Track,Taranaki
1330,3,2014,793,Mangorei Track,Taranaki
1331,4,2014,781,Mangorei Track,Taranaki
1332,5,2014,525,Mangorei Track,Taranaki
1333,6,2014,668,Mangorei Track,Taranaki
1334,7,2014,571,Mangorei Track,Taranaki
1335,8,2014,631,Mangorei Track,Taranaki
1336,9,2014,408,Mangorei Track,Taranaki
1337,10,2014,541,Mangorei Track,Taranaki
1338,11,2014,582,Mangorei Track,Taranaki
1339,12,2014,1164,Mangorei Track,Taranaki
1340,1,2015,1706,Mangorei Track,Taranaki
1341,2,2015,1113,Mangorei Track,Taranaki
1342,3,2015,972,Mangorei Track,Taranaki
1343,4,2015,982,Mangorei Track,Taranaki
1344,5,2015,542,Mangorei Track,Taranaki
1345,6,2015,415,Mangorei Track,Taranaki
1346,7,2015,603,Mangorei Track,Taranaki
1347,8,2015,424,Mangorei Track,Taranaki
1348,9,2015,594,Mangorei Track,Taranaki
1349,10,2015,798,Mangorei Track,Taranaki
1350,11,2015,652,Mangorei Track,Taranaki
1351,12,2015,1470,Mangorei Track,Taranaki
1352,1,2016,1936,Mangorei Track,Taranaki
1353,2,2016,1313,Mangorei Track,Taranaki
1354,3,2016,1450,Mangorei Track,Taranaki
1355,4,2016,1287,Mangorei Track,Taranaki
1356,5,2016,398,Mangorei Track,Taranaki
1357,6,2016,1010,Mangorei Track,Taranaki
1358,7,2016,876,Mangorei Track,Taranaki
1359,8,2016,942,Mangorei Track,Taranaki
1360,9,2016,536,Mangorei Track,Taranaki
1361,10,2016,1242,Mangorei Track,Taranaki
1362,11,2016,991,Mangorei Track,Taranaki
1363,12,2016,2738,Mangorei Track,Taranaki
1364,1,2017,2986,Mangorei Track,Taranaki
1365,2,2017,2137,Mangorei Track,Taranaki
1366,3,2017,1723,Mangorei Track,Taranaki
1367,4,2017,1338,Mangorei Track,Taranaki
1368,5,2017,80,Mangorei Track,Taranaki
1369,6,2017,334,Mangorei Track,Taranaki
1370,7,2017,1521,Mangorei Track,Taranaki
1371,8,2017,866,Mangorei Track,Taranaki
1372,9,2017,1048,Mangorei Track,Taranaki
1373,10,2017,1639,Mangorei Track,Taranaki
1374,11,2017,2568,Mangorei Track,Taranaki
1375,12,2017,4116,Mangorei Track,Taranaki
1376,1,2018,3129,Mangorei Track,Taranaki
1377,2,2018,2791,Mangorei Track,Taranaki
1378,3,2018,3092,Mangorei Track,Taranaki
1379,4,2018,3353,Mangorei Track,Taranaki
1380,5,2018,1633,Mangorei Track,Taranaki
1381,6,2018,2176,Mangorei Track,Taranaki
1382,7,2018,1094,Mangorei Track,Taranaki
1383,8,2018,1653,Mangorei Track,Taranaki
1384,9,2018,2382,Mangorei Track,Taranaki
1385,10,2018,2011,Mangorei Track,Taranaki
1386,4,2010,4369,Kura Tawhiti,Canterbury
1387,5,2010,2456,Kura Tawhiti,Canterbury
1388,6,2010,1255,Kura Tawhiti,Canterbury
1389,7,2010,1834,Kura Tawhiti,Canterbury
1390,8,2010,1160,Kura Tawhiti,Canterbury
1391,9,2010,1176,Kura Tawhiti,Canterbury
1392,10,2010,2259,Kura Tawhiti,Canterbury
1393,11,2010,3771,Kura Tawhiti,Canterbury
1394,12,2010,8079,Kura Tawhiti,Canterbury
1395,1,2011,11746,Kura Tawhiti,Canterbury
1396,2,2011,8036,Kura Tawhiti,Canterbury
1397,3,2011,6870,Kura Tawhiti,Canterbury
1398,4,2011,6575,Kura Tawhiti,Canterbury
1399,5,2011,3564,Kura Tawhiti,Canterbury
1400,6,2011,2810,Kura Tawhiti,Canterbury
1401,7,2011,3145,Kura Tawhiti,Canterbury
1402,8,2011,2427,Kura Tawhiti,Canterbury
1403,9,2011,3602,Kura Tawhiti,Canterbury
1404,10,2011,4856,Kura Tawhiti,Canterbury
1405,11,2011,7204,Kura Tawhiti,Canterbury
1406,12,2011,9163,Kura Tawhiti,Canterbury
1407,1,2012,11411,Kura Tawhiti,Canterbury
1408,2,2012,9695,Kura Tawhiti,Canterbury
1409,3,2012,7860,Kura Tawhiti,Canterbury
1410,4,2012,8418,Kura Tawhiti,Canterbury
1411,5,2012,3482,Kura Tawhiti,Canterbury
1412,6,2012,2385,Kura Tawhiti,Canterbury
1413,7,2012,3091,Kura Tawhiti,Canterbury
1414,8,2012,3134,Kura Tawhiti,Canterbury
1415,9,2012,3468,Kura Tawhiti,Canterbury
1416,10,2012,4547,Kura Tawhiti,Canterbury
1417,11,2012,1396,Kura Tawhiti,Canterbury
1418,12,2012,4174,Kura Tawhiti,Canterbury
1419,1,2013,10557,Kura Tawhiti,Canterbury
1420,2,2013,6190,Kura Tawhiti,Canterbury
1421,3,2013,2346,Kura Tawhiti,Canterbury
1422,4,2013,1334,Kura Tawhiti,Canterbury
1423,5,2013,727,Kura Tawhiti,Canterbury
1424,6,2013,453,Kura Tawhiti,Canterbury
1425,7,2013,861,Kura Tawhiti,Canterbury
1426,8,2013,661,Kura Tawhiti,Canterbury
1427,9,2013,1446,Kura Tawhiti,Canterbury
1428,10,2013,1695,Kura Tawhiti,Canterbury
1429,11,2013,4707,Kura Tawhiti,Canterbury
1430,12,2013,9091,Kura Tawhiti,Canterbury
1431,1,2014,11572,Kura Tawhiti,Canterbury
1432,2,2014,8597,Kura Tawhiti,Canterbury
1433,3,2014,7916,Kura Tawhiti,Canterbury
1434,4,2014,6309,Kura Tawhiti,Canterbury
1435,5,2014,3547,Kura Tawhiti,Canterbury
1436,6,2014,2468,Kura Tawhiti,Canterbury
1437,7,2014,2590,Kura Tawhiti,Canterbury
1438,8,2014,2696,Kura Tawhiti,Canterbury
1439,9,2014,3283,Kura Tawhiti,Canterbury
1440,10,2014,4752,Kura Tawhiti,Canterbury
1441,11,2014,5983,Kura Tawhiti,Canterbury
1442,12,2014,10834,Kura Tawhiti,Canterbury
1443,1,2015,10138,Kura Tawhiti,Canterbury
1444,2,2015,9279,Kura Tawhiti,Canterbury
1445,3,2015,7222,Kura Tawhiti,Canterbury
1446,4,2015,6957,Kura Tawhiti,Canterbury
1447,5,2015,3922,Kura Tawhiti,Canterbury
1448,6,2015,2706,Kura Tawhiti,Canterbury
1449,7,2015,2839,Kura Tawhiti,Canterbury
1450,8,2015,2955,Kura Tawhiti,Canterbury
1451,9,2015,3599,Kura Tawhiti,Canterbury
1452,10,2015,4959,Kura Tawhiti,Canterbury
1453,11,2015,6675,Kura Tawhiti,Canterbury
1454,12,2015,10489,Kura Tawhiti,Canterbury
